Period	Class1	Class2 Class3	Class4	Class5
1	0	0	0.37	0.59	0.42
2	0	0.83	1.24	1.35	1
3	0	1.3	1.74	1.92	1.42
4	0	1.4	2	2.3	1.7
5	0	1.12	1.98	1.5	1.8
6	0	0.63	1.13	0.92	0.92
7	0	0.3	0.57	0.58	0.57
8	0	0.12	0.35	0.38	0.33
9	0	0	0.18	0.25	0.18
10	0	0	0	0	0
11	0	0	0.06	0	0
12	0	0	0.07	0.03	0.03
13	0	0	0.08	0.14	0.20
