time, stage, density
0, 1, 5.32
0, 2, 24.84
0, 3, 115.50
1, 1, 0.33
1, 2, 18.16
1, 3, 167.16
2, 1, 2.41
2, 2, 17.14
2, 3, 159.25
3, 1, 2.06
3, 2, 3.25
3, 3, 112.87
4, 1, 1.70
4, 2, 2.08
4, 3, 132.62
5, 1, 3.16
5, 2, 11.23
5, 3, 149.62
